CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITM Prob..1,PutLTP
,,,,,,,,
8200,97.4,49.6,83.02,14000.0,-2.2,17.07,2.5,37.05
-,-,-,-,15000.0,-4.68,17.08,5.3,88.5
4995,90,19.85,88.52,16000.0,-8.07,16.51,9.9,162.5
4161,83.6,19.26,83.34,17000.0,-11.54,14.79,16.3,222.7
3440,75.6,19.37,76.33,18000.0,-17.99,14,24.3,366.25
3080,71.2,19.04,72.75,18500.0,-,-,-,-
2732.1,66.4,18.63,68.93,19000.0,-26.88,13.26,33.5,586
2050,56.7,17.36,60.53,20000.0,-38.05,12.28,43.2,878.15
1461,47,16.22,50.81,21000.0,-51.91,10.97,52.9,1252
990,37.9,15.32,40.39,22000.0,-68.81,9.39,62,1750
675,29.8,15.06,30.94,23000.0,-83.43,8.65,70.1,2490
