CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITM Prob..1,PutLTP
,,,,,,,,
5000,99.6,0,0,15000.0,-4.62,22.71,0.3,77.7
-,-,-,-,16000.0,-3.54,16.25,1.7,40.0
-,-,-,-,17000.0,-8.49,16.02,5.8,110.0
-,-,-,-,18000.0,-14.35,13.91,14.6,180.0
1860.95,71.2,17.92,68.82,19000.0,-25.4,12.22,28.7,327.3
1168,53.7,16,55.76,20000.0,-43.41,10.17,46.2,574.35
601.2,36.3,13.91,39.12,21000.0,-73.79,6.97,63.6,970.0
-,-,-,-,22000.0,0.0,0.0,77.9,1080.05
-,-,-,-,24000.0,-90.36,15.24,94.0,3900.0
